iso,country,affected,affected_per_100k,injured_or_ill,dwellings_damaged,dwellings_destroyed,livelihoods_disrupted,livelihood_share_of_affected
FJI,Fiji,235921,25785,1221,37714,14094,182892,0.775
VUT,Vanuatu,246802,82582,122,86680,0,160000,0.648
SLB,Solomon Islands,2339,314,6,136,437,1760,0.752
PNG,Papua New Guinea,3297,34,3007,20,20,250,0.076
TON,Tonga,68,,,,,,
WSM,Samoa,195,92,15,60,60,60,0.308
KIR,Kiribati,15,12,0,6,6,3,0.2
FSM,Micronesia,0,0,,,,,
MHL,Marshall Islands,56718,132810,3560,0,0,53158,0.937
TUV,Tuvalu,2266,21795,0,246,1774,246,0.109
NRU,Nauru,1133,9731,33,0,0,1100,0.971
PLW,Palau,,,,,,,
