place,emissions_pathway,year,slr_p17_cm,slr_p50_cm,slr_p83_cm
Regional (all Pacific),Lower,2020,2.5,5.6,8.9
Regional (all Pacific),Lower,2030,6.1,10.2,14.9
Regional (all Pacific),Lower,2040,9.9,15.0,21.4
Regional (all Pacific),Lower,2050,14.9,21.2,29.4
Regional (all Pacific),Lower,2060,18.8,26.3,36.7
Regional (all Pacific),Lower,2070,23.8,32.8,45.8
Regional (all Pacific),Lower,2080,27.8,38.8,54.9
Regional (all Pacific),Lower,2090,31.7,44.6,63.7
Regional (all Pacific),Lower,2100,32.8,51.3,75.3
Regional (all Pacific),Middle,2020,2.5,5.5,8.7
Regional (all Pacific),Middle,2030,6.3,10.2,14.8
Regional (all Pacific),Middle,2040,10.6,15.6,21.8
Regional (all Pacific),Middle,2050,16.5,22.7,30.9
Regional (all Pacific),Middle,2060,21.4,28.9,39.7
Regional (all Pacific),Middle,2070,27.2,36.8,51.0
Regional (all Pacific),Middle,2080,33.3,45.3,62.8
Regional (all Pacific),Middle,2090,39.1,53.5,75.3
Regional (all Pacific),Middle,2100,44.3,62.6,89.2
Regional (all Pacific),Higher,2020,3.3,5.8,8.6
Regional (all Pacific),Higher,2030,7.8,11.2,15.4
Regional (all Pacific),Higher,2040,12.3,17.2,23.7
Regional (all Pacific),Higher,2050,18.6,25.3,34.3
Regional (all Pacific),Higher,2060,25.6,33.8,45.8
Regional (all Pacific),Higher,2070,33.3,44.2,60.2
Regional (all Pacific),Higher,2080,41.7,55.6,76.3
Regional (all Pacific),Higher,2090,52.5,69.3,95.2
Regional (all Pacific),Higher,2100,61.8,84.8,118.2
Tuvalu,Lower,2020,1.5,5.6,10.0
Tuvalu,Lower,2030,4.9,10.2,16.0
Tuvalu,Lower,2040,9.7,15.6,22.8
Tuvalu,Lower,2050,14.5,21.7,30.8
Tuvalu,Lower,2060,18.1,26.6,37.8
Tuvalu,Lower,2070,23.3,33.4,47.1
Tuvalu,Lower,2080,28.0,39.9,56.7
Tuvalu,Lower,2090,32.1,46.0,65.6
Tuvalu,Lower,2100,30.6,53.0,80.3
Tuvalu,Middle,2020,1.7,5.8,9.9
Tuvalu,Middle,2030,5.5,10.4,15.8
Tuvalu,Middle,2040,10.2,16.2,23.1
Tuvalu,Middle,2050,16.0,23.3,32.5
Tuvalu,Middle,2060,20.6,29.4,41.2
Tuvalu,Middle,2070,26.9,37.5,52.4
Tuvalu,Middle,2080,33.5,46.0,64.0
Tuvalu,Middle,2090,39.2,54.2,76.4
Tuvalu,Middle,2100,46.8,65.2,92.1
Tuvalu,Higher,2020,3.5,6.4,9.5
Tuvalu,Higher,2030,7.4,11.5,16.2
Tuvalu,Higher,2040,11.3,16.9,23.9
Tuvalu,Higher,2050,17.4,25.4,35.5
Tuvalu,Higher,2060,24.5,34.1,47.1
Tuvalu,Higher,2070,32.0,44.2,61.1
Tuvalu,Higher,2080,39.5,55.2,77.1
Tuvalu,Higher,2090,49.4,69.0,96.7
Tuvalu,Higher,2100,57.6,83.8,119.3
Fiji,Lower,2020,2.4,5.5,8.8
Fiji,Lower,2030,6.4,10.3,14.8
Fiji,Lower,2040,9.3,14.5,20.9
Fiji,Lower,2050,13.9,20.2,28.5
Fiji,Lower,2060,17.9,25.3,35.5
Fiji,Lower,2070,22.8,31.4,43.9
Fiji,Lower,2080,26.3,36.8,52.2
Fiji,Lower,2090,29.8,42.1,60.6
Fiji,Lower,2100,31.6,48.0,70.1
Fiji,Middle,2020,1.7,5.2,9.0
Fiji,Middle,2030,5.9,10.1,14.8
Fiji,Middle,2040,10.1,15.2,21.4
Fiji,Middle,2050,16.0,22.0,30.1
Fiji,Middle,2060,20.6,28.0,38.5
Fiji,Middle,2070,25.9,35.5,49.5
Fiji,Middle,2080,31.6,43.8,61.1
Fiji,Middle,2090,37.2,51.6,73.1
Fiji,Middle,2100,40.8,60.0,86.8
Fiji,Higher,2020,2.7,5.3,8.2
Fiji,Higher,2030,7.7,10.8,14.7
Fiji,Higher,2040,12.0,16.9,23.3
Fiji,Higher,2050,18.1,25.0,33.9
Fiji,Higher,2060,25.0,33.2,44.8
Fiji,Higher,2070,32.4,43.4,59.2
Fiji,Higher,2080,40.9,54.8,75.0
Fiji,Higher,2090,52.3,68.6,93.7
